Hybrid,Chip,ADCRef,Pre_DAC,Pre_VREF,Pre_Slope,Iter1_DAC,Iter1_VREF,Iter1_Slope,Iter3_DAC,Iter3_VREF,Iter3_Slope
2,8,9,11,0.8494965434074402,,14,2.5616071224212646,,14,0.8528474569320679,
3,8,9,17,1.7043163776397705,,19,2.5560882091522217,,19,0.8518105149269104,
2,9,7,7,1.7143889665603638,,8,2.55788254737854,,8,0.8516632914543152,
3,9,8,15,1.7057275772094727,,14,2.5459885597229004,,14,0.8487319946289062,
2,10,9,16,1.6951181888580322,,16,2.5484399795532227,,16,0.8492647409439087,
3,10,7,14,1.6994822025299072,,15,2.5537474155426025,,15,0.8516845703125,
2,11,8,14,1.695955514907837,,11,2.547711133956909,,11,0.8481848835945129,
3,11,12,19,1.7039189338684082,,15,2.5490798950195312,,15,0.8492647409439087,
2,12,9,16,1.7030248641967773,,16,2.552948474884033,,16,0.8540060520172119,
3,12,7,14,1.704519271850586,,14,2.5610709190368652,,14,0.8519589900970459,
2,13,7,13,1.7016549110412598,,21,1.6930358409881592,,21,0.8453251719474792,
3,13,8,15,1.705349087715149,,16,2.54785418510437,,16,0.8507747650146484,
2,14,6,13,1.6928701400756836,,15,2.549426555633545,,15,0.8506671786308289,
3,14,9,14,1.6970269680023193,,16,2.557964324951172,,16,0.8522276282310486,
2,15,6,14,1.7097622156143188,,19,2.5494816303253174,,19,0.8489634990692139,
3,15,9,9,1.6897304058074951,,7,2.531702756881714,,7,0.8440430164337158,
